	Actinobacteria	Proteobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Thaumarchaeota	Gemmatimonadetes_d__Bacteria	unclassified_d__Bacteria	Verrucomicrobia	Planctomycetes	Candidatus_Rokubacteria	Others	Proteobacteria	Actinobacteria	Acidobacteria	Chloroflexi	Bacteroidetes	Gemmatimonadetes	unclassified	Firmicutes	Rokubacteria	Nitrospirae	Cyanobacteria	Others	Actinobacteria	Proteobacteria	Chloroflexi	Acidobacteria	Bacteroidetes	unclassified	Planctomycetes	Gemmatimonadetes	Firmicutes	Verrucomicrobia	Ignavibacteriae	Others
AuE1D2	2686.252149	1625.567094	693.3119745	606.123175	129.1044374	244.0341901	208.3243136	154.677155	53.37030553	87.98029028	33.43733532	392.1467648	209.398614	164.7439837	68.43570192	20.20852019	3.66180909	21.47902518	10.17400933	1.383475978	0	0.453620187	1.390299751	30.16844008	125.1966821	39.6880633	23.28407212	22.65816473	12.4607193	2.622089396	4.196518737	8.564173003	2.933717784	0.743214079	0.657141285	11.276857
AuE1D3	2529.616097	1899.347043	620.6105051	474.570485	143.2907891	159.5323734	240.4025219	135.9921606	49.46343923	90.73104371	26.92144617	387.9067931	274.3771078	155.137714	61.62068515	15.69377676	5.490445481	20.25480747	12.83774295	3.639540304	0.125786199	0.760111154	2.944266377	31.45350071	128.3332107	41.8664232	11.70427462	20.41893404	17.19636603	3.15040008	2.871526954	11.19009096	2.777424784	0.979407536	0.286965892	9.176273196
AuE2D1	2768.713552	1542.009635	1665.854411	409.869945	225.649449	201.6728378	84.80274186	104.5016119	76.45833946	119.03395	34.00736586	367.8908417	270.7554679	238.2807341	237.7966548	14.95478024	6.025452271	4.793509881	7.488760878	8.041135052	1.041599222	1.335558401	5.738861825	7.058606707	164.2402458	54.54828639	11.81521471	45.78592913	21.58216797	10.78999819	5.461600532	2.434194182	2.601530596	2.05142167	3.026012454	9.559051348
AuE2D2	3064.013309	1585.17358	846.1211531	366.5071829	287.9130666	151.7135854	85.08466553	93.59383331	75.88202376	100.7031216	25.07958916	334.9100391	269.8997907	266.477644	137.1413124	20.64477821	19.66399161	10.26471654	11.05694625	6.564678425	2.077961733	0.337766146	10.4035431	18.19394356	200.6495694	80.5262067	14.34252426	77.09764826	34.9275435	14.43244419	10.6382858	7.317911257	1.97391063	4.786867277	0.47668617	15.73483741
AuE2D3	3319.775371	1626.719458	898.3823782	383.3436976	126.6503765	293.2204519	119.1268217	96.29260194	83.46861898	72.61963432	32.39290929	294.5656036	287.389396	288.5606016	98.34562025	17.90608964	3.278365746	7.794178619	6.035591068	4.295887457	0.546803045	3.29353043	1.59426793	7.958591836	190.3057195	64.36990748	16.55558679	31.27928261	11.55633562	10.42143504	5.6224704	2.423062808	1.119669326	0.975424377	0.229767454	13.81704357
AuE3D1	3372.939063	1712.261181	959.7203657	315.2095368	144.7682619	310.0243083	83.35526716	90.15244358	91.09411458	60.3881607	144.8634571	201.5465877	332.870513	212.2696761	82.63397465	10.22741836	4.458855245	5.984410737	2.573191301	2.832646954	5.94305876	5.948691585	1.009426848	6.161998188	197.9650463	65.13219502	23.46963055	23.27621518	17.05513679	4.926731273	6.377415378	2.192900176	1.681309272	1.897602278	0.833028732	12.05085736
AuE3D2	3919.001251	1776.310647	769.412683	257.7722416	119.3748184	145.7537074	57.63381047	77.55005848	82.65239744	56.30189093	91.07254572	165.6760306	376.7298131	268.8200627	60.38409564	8.388789816	1.796826358	1.931905664	1.320302313	1.574006573	2.02029415	1.682838401	0.539693445	4.424759048	235.9254991	68.54387294	17.99771196	15.08519642	14.51597158	5.445182381	4.910067931	1.634728555	1.314138549	1.573861664	0	10.8685471
AuE3D3	3513.719673	1722.430903	801.4495974	270.8401492	149.7931832	315.2227585	86.94005272	88.04667951	95.86795904	53.31006285	150.4130885	209.0321214	408.1095127	235.5187497	60.11974545	9.282863327	8.927459237	6.287847816	3.016431903	1.713024697	10.95331347	3.768890809	1.178426336	6.208001789	216.5654722	92.80842474	25.24844003	26.89757812	15.65490594	4.854697051	2.08588025	4.397867343	3.687855497	0.442012578	0.159126148	8.383592872
AuE4D1	3050.517192	1720.3401	1189.06951	388.1560555	113.774517	196.0503484	119.9373496	80.02006776	104.5545099	65.29082725	148.7600115	213.5238454	332.3411612	215.3573174	105.955236	15.85402495	2.06891233	7.108199017	3.268025384	1.925062783	6.925974738	8.934683196	2.325112662	8.601118528	151.4721313	54.8987589	31.0889657	28.82469634	13.39018422	3.026433376	2.079617418	4.889317648	3.78565086	2.092644592	0.128481899	11.34705059
AuE4D2	2885.296706	1504.351897	1249.669094	452.8237978	118.4820341	253.008206	141.4670002	116.7175859	115.9900952	70.27479628	183.6420993	239.056203	310.5281152	216.6321016	120.6902273	17.28905823	4.886610988	8.409742586	4.279198624	1.707423396	9.227558186	13.4876329	3.832943024	4.839777572	140.0353549	55.35928873	32.73488376	24.27840617	14.45239056	2.642613473	3.936855028	8.760659513	2.344844666	3.947348894	0.392964322	7.989642964
AuE4D3	3031.20641	1548.09387	1129.733858	413.7041152	151.2628531	235.7336369	145.1612053	103.0115005	115.5650059	64.68017252	204.0278247	245.2747806	312.8540717	195.3636692	108.3802714	24.82150429	8.807477996	8.232368131	3.567287408	1.256486205	10.41527874	12.85773285	2.607991998	7.315960945	158.5501972	61.10947781	31.75334653	22.65887202	13.00103105	3.779960026	6.746041505	7.352305923	2.313592378	2.600798699	0.124798763	8.440111803
JuE1D1	2731.258954	1501.11901	666.5294798	609.3041637	98.6192869	287.8090795	193.3886428	145.6888674	43.30468476	87.52773675	37.85406267	388.1267429	191.0370062	196.2324897	70.01640265	18.95338414	2.814617289	18.36098884	11.4319457	2.447973915	0	0.643887069	1.208423336	29.10948023	121.4909364	31.33188404	23.07484944	20.75377539	8.807603153	2.911467859	3.764675657	5.943995325	3.863967067	0.974338242	2.087612281	11.26856013
