Family,Ju_E1_D_1,Ju_E1_D_2,Ju_E1_D_3,Ap_E1_D_3,Au_E1_D_1,Au_E1_D_3,Ap_E1_D_2,Ap_E1_D_1,Au_E1_D_2,Ap_E2_D_2,Au_E2_D_3,Au_E2_D_1,Ap_E2_D_1,Ju_E2_D_2,Ju_E2_D_1,Ap_E2_D_3,Au_E2_D_2,Ju_E2_D_3,Au_E3_D_3,Au_E3_D_1,Ap_E3_D_1,Ap_E3_D_2,Ju_E3_D_2,Au_E3_D_2,Ju_E3_D_1,Ap_E3_D_3,Ju_E3_D_3,Ju_E4_D_3,Au_E4_D_2,Au_E4_D_1,Ju_E4_D_1,Ap_E4_D_1,Au_E4_D_3,Ap_E4_D_2,Ju_E4_D_2,Ap_E4_D_3,Ju_E1_W_3,Au_E1_W_3,Ap_E1_W_3,Au_E1_W_2,Ap_E1_W_1,Ap_E1_W_2,Ju_E1_W_1,Ju_E1_W_2,Au_E1_W_1,Ap_E2_W_1,Au_E2_W_3,Au_E2_W_2,Au_E2_W_1,Ap_E2_W_3,Ju_E2_W_2,Ap_E2_W_2,Ju_E2_W_3,Ju_E2_W_1,Ju_E3_W_2,Ap_E3_W_2,Ap_E3_W_3,Au_E3_W_2,Ap_E3_W_1,Au_E3_W_1,Ju_E3_W_3,Ju_E3_W_1,Au_E3_W_3,Ap_E4_W_3,Ju_E4_W_1,Au_E4_W_1,Au_E4_W_2,Ju_E4_W_3,Au_E4_W_3,Ap_E4_W_1,Ju_E4_W_2,Ap_E4_W_2
GT45,1.52233795,1.252264492,0.933466141,1.525239063,0.868739035,2.096836521,0.337261057,0.239628741,1.74915276,0.633633087,0,0.426368067,0.716630144,0.202748789,0.227897016,0.798019783,0.709095054,0.127208718,0.175308468,0,0,0.366672452,0,0.307107682,0.892717189,0.54138812,0,0,0,0,0,0,0,0,0,0,0.546536247,2.491392267,0.304413796,1.089140441,0.898051206,2.770007545,1.221953511,1.665185765,0.299497637,1.247987324,0.710514092,0.544083087,0.847481691,1.167342872,1.66679218,0.605954327,0.658455725,0.651197828,0,0,0,0.848258534,0,0.644115891,0.172124163,0.136335961,0,0.498542099,0,0.861888983,1.300129722,1.035378499,0.10920966,0.761705759,0,0.184203524
GH5_45,0.321016056,0.138385461,0.620542821,0,0.145947838,0.240899629,0.110905277,0.54475866,0.293457258,0.28661954,0.221639645,0.211835285,0.541343638,0.43498831,0.290050748,0.155113451,0.256666308,0.06399457,1.969290223,0.385754416,1.039251404,1.38625534,0.258902225,0.734931978,0.515921097,0.60298837,0.685760141,0.384488099,0.142696542,0.145708522,0.625200911,0.91325049,0.242397597,0.606806451,0.849657537,0,2.18135865,1.561041339,6.124919419,1.422999244,1.749357708,1.93288944,0.974974971,1.163630865,4.299020259,0,0.063748318,0.306549437,0.730948883,0.056475595,0.263951014,0,0,0.306108568,0,0,0,0.48111343,0.894074933,0.11044936,0,0,0.21625321,0.259536676,0.591291365,0.338608195,0.288569347,0,0.526520747,0.159027902,0,0.098300919
GT99,0,0.351760881,0,0,0,0,0,0,0,0,0.196473245,0,0,1.383733084,0.25869391,0,0,0,0,0,0.177839881,0,0.678729814,0,0,0,0.223316495,0,0,0.068999538,0.367718625,0.405967424,0,0,0,0,2.449080169,3.236037744,4.399050694,3.891598976,5.080296535,4.019372772,1.800329196,1.414319593,0.647616258,0.395765211,0.442110639,0,0.357184228,0.067603791,0.19502986,0.471902679,0.654119154,0.131426071,0.300339159,0.217638183,0,2.096438649,0,0,1.467587727,0.398446039,0.245964352,0,0.124699715,0.674021028,0.826928714,0,0.187510926,0.244417268,0,1.597874072
CBM54,0.679072427,0.175643085,0,0.105581479,0.610627945,0.305757222,0.746298829,0.345712226,0.709947064,0.526905846,0,0.173078453,0.167897933,0.179882384,0.539756091,0.210695771,0,0.15685887,0.17238666,0.857830018,0.392090067,0.479778089,1.0042864,0.146191671,1.554845743,2.624732568,0.978921624,0,0,0,0,0,0,0,0.182079253,0.223016978,0.925453997,3.378387204,0.51465947,3.522053262,0.710460541,2.817795753,2.910572097,0.458805527,3.713557822,0,0,0,0,0.151641653,0,0.080239386,0,0.102127265,0.366069284,0.966307093,0.218919795,1.618176847,1.140905436,0.720916709,0.731225236,0.231106081,0.423214972,0,0.591291365,0,0,0.634445222,0.273602745,0.109529151,1.288570176,0
GH152,0,0.690907664,0,0,0,0.480682157,0,0.185713179,0.114469143,0,0,0,0,0.140731512,0,0,0,0.859032987,0.405342833,0.127870445,0.360515506,0.257741484,0,0.268477785,0.156085144,0.307098166,0,0.443869753,0.702525628,0.656146554,0.688535399,0.62831629,1.476391151,1.347895237,0.757938291,0.687710924,0,0.238809169,0,0,0.110936456,0,0.122105565,0,0,0.08306429,0.114651826,0,0.103429614,0.189290615,0.497527135,0,0.121805462,0.203604115,1.921412632,2.079831677,1.353609242,1.183023413,0.413415793,1.417646771,0.213605676,1.146322502,0.990744684,6.732419652,1.835857343,1.740089182,0,1.082160055,0.578099643,2.350002329,0,0.708166772
PL2,0,0.22833601,0,1.512623781,0.590865282,0.095091959,0.138631597,0.118269972,0.401830509,0.218313014,0.445208596,0.730775691,0.431999812,0.601733829,0,0,2.188868745,0.901016717,0,0.347076923,0,0.644181652,0,0,0,0,0,0.674558748,0.177379729,1.41382956,0,0.215631966,0.614862196,0.44311849,0,0,1.463446432,1.050130628,0.599831303,1.283185761,0.714637925,1.257612054,1.781277727,3.018803757,0.33763643,1.147821123,0.512432185,1.053704039,0.592587618,0.663497743,1.025826959,0.291161472,0,0.427691128,0.540375522,0.105955431,0.433747631,0.180619283,0.322860392,0.429410594,0,0.131602074,0,0,1.045848831,1.172745209,0,0.13531247,0.865179459,0.981041545,1.945712172,0.191089637
PL25,0,0.396766154,0.047293102,1.018160981,1.979159171,1.74136474,0,0.18419094,1.397948991,0,0,0,0.366072542,0.392202575,0,0,0.342923018,0,0.510083276,0,0.819532517,0.446720244,0.220703536,0,0.203422441,0.248359566,0.184876771,0,0.505795662,0.213785455,0,0.217399442,0,0,0.439397867,0.745919693,1.55117417,0.212433238,1.57435703,0.937811179,0.949602322,1.618705426,0.716950081,1.53579218,0.822356322,0.465364196,1.18076931,1.496827426,0.628586041,0.362873601,0.602824419,0.669003181,0.326008359,0.539797443,0,0,0,0,0.192115275,0.37661421,0.156604771,0,0.368693997,0.657174551,0,2.018476754,1.1332647,0,0.198308146,0.14257674,0.216224701,0.33031374
PL17_2,0,0,0.115044456,0,0,0,0.174279722,0.92189927,0,1.946915133,0.448654915,0.118048381,0.343545001,0.245378021,0.509033587,0.259317872,0.858186835,0.106985793,1.253466304,0,0.104148924,0.301781077,1.035608899,0.441726389,0,0,1.032992591,1.120050673,0,0.326022819,0.294041975,0,0.342758707,0.124772838,3.184604695,0,0.262037072,1.276806584,0.528488122,0.232998925,0.44946699,0,0.06701771,0,0.513934899,0,0.407876408,0,0,0.552626963,0.140001822,0.097472005,0,0.066808253,0.156376749,0.246401562,0.096689576,2.497805345,0.096858118,0,1.413438668,0.236883733,0.709516484,2.504802438,0.58699093,0.713423969,1.03233659,0.645506765,1.819966123,0,1.249295469,0.223460012
GT71,0.097010347,0.383918581,1.391736582,0.791297996,1.986418789,0.309897743,2.302735792,0.692519739,0.286223396,1.304114659,0.539815104,1.322722089,0.398757591,0,0,2.446825646,0.373541145,0,0.486881294,0.160955805,0.84806981,0.114791601,0.188292527,0,0,0.23889825,0,0,0.966075637,0.558896261,0,0.406847526,0.386700803,0.370419363,0.179618723,0,0.061446708,0.156164256,0.412520414,0.29309305,0,0.399977643,0.22141294,1.612860479,0.053369603,0.12044322,0.25185811,0.309871798,0.063357408,0.819388278,0.165386767,0.805624944,0.628634092,0.131426071,0.408115779,1.508750644,0.38300456,0.393720052,0.793199271,0.81703838,0.407076177,0.640226304,0,0.357507474,0.312185301,0,0,1.008433985,0.277988227,0.115656656,1.614768976,0.255327062
GH43_31,0,0,0.115694424,0.806818469,0,0.14721644,0,0,0,0.636081858,0.360253579,1.262613253,1.671295741,2.029342766,2.210357552,1.33250469,2.552035294,0.295680345,0.459697761,0.185618388,2.26304905,0.151688901,0,0,0,0.248359566,0,0.954321983,0.773604494,1.000270728,0,0.196464681,0.576773063,0.191184187,0,0,1.575451225,0.665987604,0.368407103,1.147112562,0.579518378,0.843171038,0.872196897,0.866628574,1.730096788,0.25872988,0.585926509,0.777703867,0.724372804,0,1.420726349,0,0.420731815,0.48031591,0,0,0.223129791,1.357596166,0,0.644739229,0,0,0.147962723,0,0.216711155,0,0,0,0.771889639,0,0,0.198510593
