Taxon,D,W
Others,340.5110957,460.0556578
unclassified,191.2398936,354.9546763
Ignavibacteriae,24.00047473,94.29938693
Verrucomicrobia,55.80725267,80.00653139
Firmicutes,94.2952488,240.3374157
Gemmatimonadetes,165.314476,239.4642347
Planctomycetes,168.4112828,225.8837323
Bacteroidetes,563.1510861,1214.183467
Chloroflexi,711.9243309,1260.608247
Acidobacteria,1001.150221,929.9080595
Proteobacteria,2238.614878,2256.176977
Actinobacteria,6691.884844,3658.710349
