Taxon,D,W
Others,460.7050577,600.6547384
unclassified,218.7171059,350.1128376
Cyanobacteria,101.0586798,98.17804325
Rokubacteria,107.2123074,250.4251722
Nitrospirae,123.7446307,122.0565473
Firmicutes,127.7927834,249.6774183
Bacteroidetes,199.918062,596.6819464
Gemmatimonadetes,343.332492,251.3746871
Chloroflexi,561.9256339,890.5725834
Acidobacteria,3264.247937,2618.109145
Actinobacteria,8174.014739,3916.69527
Proteobacteria,11207.15546,17205.23811
