Taxon,ApE1D1,ApE1D2,ApE1D3,ApE2D1,ApE2D2,ApE2D3,ApE3D1,ApE3D2,ApE3D3,ApE4D1,ApE4D2,ApE4D3,JuE1D1,JuE1D2,JuE1D3,JuE2D1,JuE2D2,JuE2D3,JuE3D1,JuE3D2,JuE3D3,JuE4D1,JuE4D2,JuE4D3,ApE1W1,ApE1W2,ApE1W3,ApE2W1,ApE2W2,ApE2W3,ApE3W1,ApE3W2,ApE3W3,ApE4W1,ApE4W2,ApE4W3,JuE1W1,JuE1W2,JuE1W3,JuE2W1,JuE2W2,JuE2W3,JuE3W1,JuE3W2,JuE3W3,JuE4W1,JuE4W2,JuE4W3,AuE1D1,AuE1D2,AuE1D3,AuE2D1,AuE2D2,AuE2D3,AuE3D1,AuE3D2,AuE3D3,AuE4D1,AuE4D2,AuE4D3,AuE1W1,AuE1W2,AuE1W3,AuE2W1,AuE2W2,AuE2W3,AuE3W1,AuE3W2,AuE3W3,AuE4W1,AuE4W2,AuE4W3
470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47977E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471,2.12446E-07,0,0,0,6.02298E-08,0,2.94111E-08,0,0,0,3.06293E-08,0,0,5.88739E-08,5.28E-08,2.05662E-08,2.05621E-08,0,0,3.16821E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97843E-08,3.5957E-08,0,2.70825E-08,0,0,0,0,0,0,0,0,0,0,0,0,1.66102E-08,0,0,0,0
472,1.95778E-07,1.36354E-07,0,1.46143E-07,1.25607E-07,2.24291E-07,9.24714E-08,1.19632E-07,1.85714E-08,2.792E-07,7.02065E-08,1.53764E-07,1.36214E-07,3.06521E-07,1.94941E-07,8.92497E-08,4.45634E-07,3.11411E-07,5.51218E-08,9.37064E-08,4.50974E-08,7.03548E-08,0,7.99319E-08,0,0,0,1.61415E-07,2.2115E-07,1.09532E-07,5.16312E-08,1.63951E-07,5.15413E-08,4.8979E-08,1.05965E-07,0,0,0,0,1.87291E-07,9.85706E-08,1.0544E-07,4.20911E-08,1.44026E-08,9.90162E-08,3.30516E-08,7.29785E-08,7.09275E-08,0,0,1.19381E-07,1.18129E-07,1.57899E-07,2.02515E-07,1.70406E-08,9.27721E-08,0,1.931E-08,0,3.7328E-08,0,0,0,1.26241E-07,2.73149E-07,2.17492E-07,1.70087E-08,4.29252E-08,4.99529E-08,3.9108E-08,5.27649E-08,0
473,0,0,0,0,0,0,0,5.20675E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52063E-07,6.26637E-08,4.13616E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28073E-08,0
474,0,4.38467E-08,0,2.67527E-08,5.59711E-08,0,0,0,0,0,0,0,0,2.73555E-08,0,0,0,7.49813E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69407E-08,2.86934E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,2.07815E-07,2.11541E-08,0,2.5814E-08,2.70036E-08,0,2.88951E-08,3.9279E-08,0,0,2.74052E-08,3.0937E-08,0,2.90353E-07,7.10175E-08,0,2.76566E-08,2.41168E-08,2.86891E-08,1.86758E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20863E-08,7.74102E-08,0,2.76866E-08,0,3.73161E-08,2.29746E-08,0,2.41816E-08,4.20178E-08,2.12859E-07,0,2.39135E-08,6.03013E-08,1.1811E-07,0,0,0,0,0,0,0,2.65574E-08,0,0,0,0,0
476,0,3.97511E-08,0,4.6222E-08,7.49191E-08,7.85018E-08,1.39842E-07,3.5166E-08,5.44898E-08,2.74498E-08,2.45355E-08,0,0,9.92014E-08,0,0,0,1.25271E-07,4.62815E-08,5.02132E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38241E-08,1.08247E-07,0,0,2.20901E-08,7.71549E-08,0,0,5.47615E-08,0,0,0,0,0,0,2.37765E-08,0,0,0,0,0
477,1.83556E-07,0,0,0,3.81621E-08,4.13054E-08,0,0,0,4.33299E-08,0,0,0,0,0,0,5.25475E-08,6.81648E-08,0,0,0,0,0,0,1.68021E-08,0,0,0,0,0,0,0,0,0,0,0,3.31672E-08,0,0,1.14012E-07,1.71227E-07,5.61244E-08,0,0,0,0,0,0,0,0,3.24683E-08,3.76066E-08,3.4174E-08,2.96903E-08,0,0,0,0,0,0,0,3.84372E-08,0,5.16288E-08,0,0,5.0459E-08,0,0,0,0,0
478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26061E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53934E-08,0,3.72527E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56128E-08,1.00283E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14443E-08,0,0,0,0,0,0,0
480,0,0,1.25417E-08,0,0,0,2.34174E-08,0,0,5.14011E-08,0,2.42671E-08,0,0,0,4.33966E-08,8.67758E-08,0,4.65009E-08,1.04365E-07,4.37116E-08,0,7.56243E-08,0,0,0,0,6.23266E-09,0,0,0,0,0,1.4997E-08,0,0,0,1.73235E-08,1.26367E-08,8.29722E-09,1.5375E-08,3.37732E-08,0,0,0,1.21442E-07,4.07818E-08,5.56686E-08,0,0,0,0,1.89681E-08,0,8.92128E-08,8.27294E-08,1.16524E-07,0,4.95018E-08,9.31456E-08,0,0,2.29401E-08,0,1.44627E-08,2.37478E-08,2.08317E-08,0,0,0,0,7.20926E-08
481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88023E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51403E-08,6.85368E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483,0,0,0,0,4.05054E-08,0,4.22313E-08,6.71671E-08,0,4.48113E-08,8.69165E-08,5.29022E-08,0,0,0,0,8.29698E-08,0,0,0,0,4.05893E-08,4.4914E-08,0,0,0,0,0,0,0,4.59517E-08,0,0,6.5387E-08,0,0,0,0,0,0,0,0,0,1.97205E-07,0,0,0,0,0,0,0,3.99158E-08,0,3.15134E-08,0,7.82536E-08,0,0,0,0,0,0,0,0,0,0,0,0,7.59967E-08,0,0,0
484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6777E-08,1.86588E-07,1.32603E-07,0,0,0,0,1.95531E-07,2.0584E-08,0,0,0,0,0,0,0,0,0,0,2.9812E-08,0,0,3.08662E-08,0,0,0,5.85493E-08,0,0,0,0
485,0,0,0,0,4.19784E-08,1.36308E-07,0,0,0,7.68193E-08,1.37327E-07,0,3.17286E-08,0,0,0,8.59869E-08,7.49813E-08,0,0,0,1.21768E-07,1.92489E-08,6.96842E-08,2.16249E-08,0,0,0,0,0,0,0,0,0,0,0,2.13437E-08,0,6.74809E-08,0,0,0,0,0,0,0,0,0,2.50474E-08,0,0,0,0,0,0,0,1.49788E-08,3.77711E-08,2.03447E-07,7.30153E-08,0,0,0,0,0,2.81201E-08,0,0,0,0,0,0
486,0,0,0,0,0,4.28455E-08,3.28799E-07,3.11115E-07,1.03511E-06,3.42674E-08,1.41606E-07,1.0373E-07,0,0,0,5.98182E-08,7.14526E-08,0,2.78158E-07,5.475E-07,5.89568E-07,9.31166E-08,1.82433E-07,5.37661E-07,0,0,0,1.55613E-08,1.87642E-08,0,4.89452E-07,3.55315E-08,1.31143E-07,0,3.46488E-08,1.39494E-07,0,0,0,0,0,0,4.89687E-08,5.0268E-08,5.70614E-08,1.15356E-07,2.32213E-07,2.47551E-07,0,0,2.56775E-08,0,2.70265E-08,0,3.06006E-07,1.49289E-06,3.72077E-07,3.36978E-08,7.62859E-08,5.40941E-07,0,0,0,0,0,0,3.89309E-08,0,0,4.54982E-08,1.22773E-07,2.82289E-07
487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21013E-08,0,0,0,6.22208E-09,0,0,0,0,0,0,3.96523E-07,3.03558E-08,0,5.81567E-08,0,4.175E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29915E-08,6.12703E-09,3.44101E-08,3.84058E-08,6.41867E-09,6.96553E-09,0,0,0,0,0,0
488,0,0,0,0,0,0,0,6.29691E-08,0,0,0,0,0,0,0,5.91279E-08,0,0,3.06615E-08,6.65325E-08,0,0,1.31374E-07,0,0,0,0,2.9761E-08,2.24291E-08,1.69552E-08,0,0,0,2.04334E-08,2.52613E-08,0,0,0,1.51832E-08,2.4762E-08,9.29709E-08,3.65686E-08,0,0,0,5.51548E-08,2.77826E-08,1.1836E-07,0,0,0,0,0,0,2.84366E-08,0,5.11151E-08,0,0,3.11456E-08,0,0,0,1.86885E-08,4.37272E-08,2.37263E-08,0,0,8.33589E-08,2.17538E-08,0,7.36696E-08
489,0,0,0,9.7172E-08,2.68466E-08,0,4.6151E-07,6.83608E-07,8.05709E-07,2.31237E-07,8.91791E-08,1.8821E-07,0,1.9884E-08,0,3.47097E-08,3.47027E-08,0,8.64694E-07,4.57198E-07,6.59694E-07,3.69455E-07,1.63329E-07,1.80887E-07,0,0,0,0,0,0,1.63247E-07,9.53057E-08,6.03296E-08,9.8355E-08,0,3.10212E-08,0,0,0,0,0,0,2.29822E-08,6.83071E-08,4.39158E-08,2.56534E-08,0,8.25769E-08,0,0,0,2.64558E-08,0,1.05353E-08,2.07895E-07,3.19572E-07,1.85063E-07,4.33994E-07,1.39924E-07,1.31653E-07,0,0,0,1.39078E-08,0,0,2.05523E-07,1.12034E-08,6.61602E-08,0,1.2449E-07,2.28433E-08
490,0,0,0,0,0,0,7.78121E-08,7.93312E-08,7.80878E-08,0,0,0,0,3.55407E-08,0,0,0,0,0,0,3.5107E-08,0,0,3.74484E-08,0,5.05836E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97383E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57584E-08,3.00815E-08,2.80051E-07,0,0,0
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.88312E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492,3.31496E-08,0,0,0,6.89197E-08,7.08929E-08,4.14198E-07,8.29388E-07,1.16841E-06,2.18901E-07,1.83525E-07,3.94793E-08,5.20918E-08,3.36841E-08,0,1.78574E-07,1.89171E-08,8.34555E-08,6.4404E-07,9.24305E-07,1.79818E-07,2.73551E-07,2.01875E-07,8.8246E-08,0,0,0,0,4.28495E-08,0,1.02877E-07,1.96244E-07,1.83487E-08,3.74755E-08,0,0,0,0,0,0,0,0,1.49844E-08,0,0,1.42656E-07,4.55303E-07,1.15192E-07,0,0,0,0,0,9.34509E-08,7.52908E-07,2.6537E-07,5.07166E-07,6.45417E-07,2.00925E-07,1.30929E-07,0,0,0,1.78517E-08,0,0,3.63305E-08,9.2952E-08,0,0,3.50453E-08,2.12381E-08
493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22706E-07,0,0,0,0,0,0
494,4.44204E-08,0,0,0,0,0,5.67008E-07,9.30914E-07,1.32771E-06,0,0,0,0,0,0,1.80938E-07,0,0,1.5938E-06,5.57833E-07,5.11641E-07,3.63307E-07,0,3.63843E-07,0,0,0,0,0,0,0,3.04445E-07,0,0,0,0,0,0,0,0,0,0,0,1.47096E-07,0,0,0,1.81098E-07,0,0,0,1.74059E-07,0,1.37419E-07,4.81996E-07,9.68341E-07,6.32822E-07,0,0,0,0,0,0,0,0,0,4.28426E-08,1.46133E-07,2.14516E-07,0,0,0
495,0,0,0,0,0,0,2.67085E-08,1.81533E-08,8.04093E-08,2.83401E-08,2.53313E-08,0,0,0,0,0,0,0,1.59108E-07,1.43854E-07,2.41004E-08,0,2.84051E-08,0,0,0,0,0,0,0,0,2.1511E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45938E-08,0,4.42077E-08,1.11476E-07,5.45858E-08,0,0,0,0,0,0,0,7.36429E-08,0,4.80628E-08,0,0,0
496,0,0,0,0,0,0,0,5.22024E-08,0,0,0,0,0,0,0,0,0,0,5.08377E-08,2.20626E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
497,0,0,0,0,0,0,9.68837E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15191E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27294E-08,0,0,0,0,0,0,0,0,0,0,0,0,8.71727E-08,0,0,0
498,0,4.06444E-08,0,2.38605E-08,0,2.70159E-08,1.89938E-07,3.94371E-07,3.49444E-07,1.17818E-07,1.00607E-07,6.52252E-08,1.88657E-08,0,0,7.87175E-08,0,0,4.06985E-07,3.40878E-07,3.77755E-07,2.01459E-07,9.31953E-08,1.89596E-07,0,0,0,0,1.61288E-08,0,0,5.78803E-08,1.66586E-07,1.24286E-07,1.042E-07,0,0,0,0,0,0,0,0,2.16039E-08,1.02299E-07,4.95773E-08,0,1.9073E-07,0,0,0,2.45967E-08,0,7.31979E-08,2.11378E-07,4.35888E-07,1.94564E-07,2.54109E-07,1.20656E-07,3.81474E-07,0,0,0,2.68779E-08,0,0,1.21077E-07,1.20297E-07,9.99058E-08,2.45113E-08,0,0
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70811E-08,0,3.23041E-08,0,0,0,0,0,0,0,0,0,0,0,2.65969E-08,0,0,3.33409E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69038E-08,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99615E-08,0,0,6.10481E-08,4.90755E-08,4.63731E-08,0,0,0,0,0,0,0,0,0,2.16721E-07,2.54279E-08,3.11163E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14162E-07,0,8.17824E-08,4.78383E-08,5.1914E-08,0,0,0,0,0,0
501,0,0,0,0,0,3.56996E-08,0,0,0,0,0,3.77873E-08,0,0,0,1.3515E-07,1.01342E-07,0,0,0,3.1847E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55949E-08,0,0,0,0,1.99896E-08,2.16926E-08,0,0,0,0,0,0
502,0,0,0,0,0,0,0,1.88672E-08,0,0,5.26548E-08,0,0,0,0,0,0,0,5.51218E-08,8.97067E-08,2.50482E-08,8.00384E-08,2.95222E-08,2.67188E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5564E-08,0,0,0,4.74067E-08,1.37839E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,0,0,0,0,0,0,1.04389E-07,4.73008E-08,3.49195E-08,1.10766E-07,6.14037E-08,3.35296E-07,0,0,0,0,0,0,8.91971E-08,1.44707E-07,6.27969E-08,6.68866E-08,0,6.69852E-08,0,0,0,0,2.02177E-08,1.64414E-08,3.23604E-08,8.40745E-08,0,4.60472E-08,0,0,0,0,0,2.23207E-08,0,0,1.58286E-07,2.7081E-08,7.97907E-08,6.21462E-08,0,1.00023E-07,0,0,0,0,0,0,0,8.49963E-08,2.87973E-08,6.75552E-08,0,1.90994E-07,0,0,0,0,0,0,6.39621E-08,1.61423E-07,1.79123E-07,1.36818E-07,6.61419E-08,5.53387E-08
504,0,0,0,1.87042E-08,0,3.88945E-08,1.55518E-07,7.84052E-08,0,6.12014E-08,7.45608E-08,4.48324E-08,0,0,0,1.84056E-08,3.68037E-08,0,1.14533E-07,6.21315E-08,6.93943E-08,3.86011E-08,6.31612E-08,1.36126E-07,0,0,0,0,0,0,1.78801E-08,3.09691E-08,1.15035E-07,9.58403E-08,8.28327E-08,0,0,0,0,0,0,0,3.04496E-08,4.7552E-08,3.06988E-08,3.58653E-08,0,2.00611E-08,0,0,0,0,3.21794E-08,1.39787E-08,3.54074E-08,6.56685E-08,9.5468E-08,8.02453E-08,1.19628E-07,5.81707E-08,0,0,0,0,0,0,5.30114E-08,1.48652E-08,3.45977E-08,0,1.82727E-08,3.3297E-08
505,5.8835E-08,0,0,0,3.05803E-08,0,0,6.67223E-08,3.28383E-08,0,0,3.50346E-08,0,0,0,3.13261E-08,0,0,0,6.44941E-08,0,0,0,0,0,0,0,0,1.90127E-08,1.79657E-08,3.04316E-08,4.822E-08,0,4.33026E-08,2.67669E-08,0,0,0,0,0,0,1.72214E-08,1.02915E-07,2.54669E-08,0,3.21432E-07,5.88771E-08,1.56769E-07,0,0,0,0,0,1.97392E-08,2.49992E-08,2.31824E-08,0,3.41441E-08,6.68766E-08,0,1.53009E-08,0,1.65594E-08,3.16839E-08,1.85334E-08,1.20674E-07,1.29884E-07,0,2.94424E-08,0,6.21996E-08,0
506,4.86061E-08,0,0,5.69574E-08,4.50499E-08,0,2.3344E-07,6.99411E-07,3.61927E-07,2.48437E-07,1.73133E-07,1.57224E-07,0,0,0,0,1.08807E-07,8.87066E-08,6.47291E-07,4.86998E-07,5.2187E-07,3.20119E-07,3.16003E-07,2.04087E-07,0,0,5.19589E-09,0,3.45894E-08,1.63423E-08,6.29348E-08,1.58489E-07,2.06934E-07,4.6826E-08,5.09951E-08,1.07842E-07,0,0,0,0,0,0,1.69179E-07,1.17997E-07,2.67321E-07,3.51259E-07,1.42557E-07,2.84031E-07,0,0,1.51686E-08,2.7412E-08,1.59655E-08,2.77415E-08,1.99138E-07,3.78094E-07,1.16711E-07,1.07876E-07,1.85725E-07,2.20983E-07,0,0,9.65432E-09,5.15546E-09,1.2606E-08,5.15866E-08,2.05069E-07,7.97653E-08,2.19994E-07,9.18983E-08,1.30612E-07,5.13379E-08
507,0,0,0,0,0,0,7.03355E-08,1.21966E-07,1.48296E-07,1.86581E-08,0,0,0,0,0,9.0966E-08,0,1.4676E-08,1.95625E-07,5.68249E-08,1.65076E-07,3.38003E-08,1.2719E-07,4.74119E-08,0,0,0,0,0,0,0,5.66481E-08,1.27352E-07,3.25921E-08,0,0,0,0,0,0,0,0,0,0,6.45313E-08,1.57024E-08,0,3.36969E-08,0,0,0,0,0,1.27848E-08,1.68455E-07,1.38215E-07,1.36848E-07,0,0,4.96783E-08,0,0,0,0,0,0,9.69675E-08,0,1.58214E-08,0,0,0
508,0,0,0,0,0,0,0,2.60338E-08,0,0,0,0,0,0,0,0,0,0,0,1.23781E-07,1.38251E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.94446E-09,0,0,0,0,0,0,0,0,0,0,2.14098E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.72243E-08,0,1.54828E-08,0,0,0,0,0,0,0,0,0
510,6.54573E-08,0,0,0,1.58681E-08,1.3294E-07,6.5252E-07,4.40524E-07,5.38836E-07,5.34897E-07,2.36267E-07,1.78551E-07,0,2.2912E-08,0,1.39535E-08,7.87995E-08,2.81495E-08,1.34996E-06,7.63705E-07,3.65296E-07,3.08087E-07,3.16932E-07,2.43799E-07,0,1.44687E-08,0,2.26795E-08,2.27851E-08,8.00243E-09,2.90475E-07,9.49766E-08,1.09219E-07,1.30296E-07,1.41634E-07,1.07843E-07,0,0,0,0,0,0,1.28732E-08,0,7.64853E-08,6.97245E-08,9.06184E-08,9.7244E-08,0,0,0,0,0,7.59033E-08,4.01213E-07,7.84726E-07,5.03784E-07,4.69056E-07,1.56863E-07,3.19984E-07,0,0,0,9.27184E-09,1.08471E-08,0,1.02603E-07,2.29826E-07,1.73375E-07,8.00922E-08,1.46745E-07,5.73713E-08
511,0,0,0,0,0,0,0,0,0,1.24831E-07,2.78945E-08,0,0,0,0,0,0,0,0,0,0,2.82675E-08,0,1.98164E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13781E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34049E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
513,1.43061E-08,0,2.526E-07,0,0,0,0,0,0,0,0,0,3.37213E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.84259E-08,4.62395E-08,6.32635E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94351E-08,0,0,0,0,0,0,0,0,0,0,0,0,2.34581E-08,0,0,0,0,0,0,0,0,0,0,0,0,3.20234E-08,0,3.09521E-08,0,0,0,0,0,0,0,2.37289E-08,0,0,0,0
515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.803E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09675E-08,0,0
517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74492E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22076E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,9.61144E-08,0,0,0,0,0,0,0,0,0,9.0966E-08,1.36422E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,0,0,0,0,2.99845E-08,0,3.20848E-08,0,0,0,9.3747E-08,5.56865E-08,0,0,0,0,0,0,0,0,0,3.33259E-08,0,0,0,0,0,0,0,0,2.98388E-08,0,0,0,0,3.4647E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04519E-08,5.31493E-08,1.74852E-08,0,0,0,0,0,0,0,0,0,0,0,1.37861E-08
520,0,0,1.43146E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1351E-08,0,1.95547E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11418E-08
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77272E-08,0,0,0,0,0,0,0,0,0,3.38988E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67716E-08,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96949E-08,0,0,0,0,0,0,0,5.14937E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0138E-08,0,0,0,0,0,7.70401E-08
523,0,0,0,0,0,0,0,0,0,1.00825E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57303E-08,0,0,0,0,0,7.82546E-08,0,0,0,3.14361E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25773E-07,0
524,0,0,0,0,0,8.03529E-09,0,5.39928E-09,0,8.42913E-09,0,4.25259E-08,0,4.17932E-08,0,7.60488E-09,8.75792E-08,0,0,8.55723E-09,7.01204E-08,6.53894E-08,3.37938E-08,0,0,0,0,3.82778E-09,1.38469E-08,0,1.79211E-07,2.85635E-07,2.20422E-07,6.19297E-08,9.1811E-08,1.50277E-07,0,0,0,0,0,5.23369E-08,2.13123E-07,1.47033E-07,2.07473E-07,8.938E-08,1.37402E-07,7.09684E-08,0,0,0,4.94491E-08,0,3.66571E-08,0,4.60058E-08,0,4.61239E-08,8.11766E-09,3.20469E-08,0,0,0,1.53835E-08,0,0,7.14215E-08,2.45681E-08,1.25215E-07,3.3575E-08,3.44615E-08,2.52672E-08
525,0,3.99803E-08,0,1.62957E-07,2.02057E-07,9.28177E-08,0,0,0,0,0,0,6.48162E-08,1.3473E-07,3.04361E-08,3.55657E-08,5.22697E-08,1.07594E-07,0,0,0,1.78532E-08,0,0,0,0,0,3.47273E-08,2.15859E-08,4.01817E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57021E-08,2.70115E-08,0,0,0,1.93826E-08,0,0,0,0,0,0,1.05208E-08,3.42515E-08,0,0,0,0,0,0
