Taxon,ApE1D1,ApE1D2,ApE1D3,ApE2D1,ApE2D2,ApE2D3,ApE3D1,ApE3D2,ApE3D3,ApE4D1,ApE4D2,ApE4D3,JuE1D1,JuE1D2,JuE1D3,JuE2D1,JuE2D2,JuE2D3,JuE3D1,JuE3D2,JuE3D3,JuE4D1,JuE4D2,JuE4D3,ApE1W1,ApE1W2,ApE1W3,ApE2W1,ApE2W2,ApE2W3,ApE3W1,ApE3W2,ApE3W3,ApE4W1,ApE4W2,ApE4W3,JuE1W1,JuE1W2,JuE1W3,JuE2W1,JuE2W2,JuE2W3,JuE3W1,JuE3W2,JuE3W3,JuE4W1,JuE4W2,JuE4W3,AuE1D1,AuE1D2,AuE1D3,AuE2D1,AuE2D2,AuE2D3,AuE3D1,AuE3D2,AuE3D3,AuE4D1,AuE4D2,AuE4D3,AuE1W1,AuE1W2,AuE1W3,AuE2W1,AuE2W2,AuE2W3,AuE3W1,AuE3W2,AuE3W3,AuE4W1,AuE4W2,AuE4W3
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69885E-08,0,3.67716E-08,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,3.80591E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37378E-07,0,2.06541E-08,3.90335E-08,0,0,0,0,0,0,1.18821E-08,0,7.51334E-08,2.28024E-08,2.14034E-08,0,0,0,0,0,4.04111E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28189E-07,1.377E-07,0,1.72096E-08,8.05336E-08,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28482E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62086E-08,0,0,0,0,0,0,0,0,0,0,0
18,7.6587E-08,0,0,0,0,0,0,0,0,0,0,0,3.00875E-08,1.94554E-07,3.48965E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38678E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9.53813E-08,0,1.97981E-07,7.57152E-09,0,6.94159E-08,4.36697E-07,3.72185E-07,2.32663E-07,4.57004E-07,4.86925E-07,7.69031E-07,3.21179E-08,1.03225E-07,2.81661E-07,3.17465E-08,0,6.46136E-08,5.84367E-07,3.62825E-07,2.2454E-07,4.90144E-07,3.40475E-07,2.79945E-07,1.23815E-07,1.34066E-07,6.07278E-09,8.53796E-07,8.87874E-07,7.60232E-07,1.03118E-06,1.02739E-06,1.14086E-06,1.73206E-06,1.67288E-06,8.81298E-07,8.89748E-08,6.16397E-07,6.33633E-08,4.86277E-07,9.8692E-07,5.35997E-07,7.12567E-07,6.4342E-07,8.6416E-07,2.76883E-07,5.64503E-07,2.95243E-07,1.69012E-07,1.59819E-07,1.20511E-07,2.09696E-08,2.21126E-08,1.21753E-07,1.86257E-07,1.57311E-07,3.1494E-07,4.08259E-07,5.1937E-07,5.71466E-07,3.34092E-08,9.07454E-08,4.91599E-08,6.71999E-07,6.73913E-07,8.66963E-07,8.47707E-07,5.58569E-07,7.59104E-07,1.86591E-06,1.73299E-06,5.33698E-07
20,0,0,0,0,0,4.58527E-08,9.06618E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4501E-07,6.91082E-08,4.8577E-08,3.54825E-09,1.15284E-08,3.08276E-08,0,0,0,0,0,0,2.46848E-08,6.47723E-08,1.38631E-07,1.60078E-08,2.31504E-07,9.85011E-09,0,0,0,2.82845E-08,0,8.03805E-09,0,0,0,0,0,0,0,3.87083E-08,0,0,0,0,1.11194E-07,2.66024E-08,1.30889E-07,1.20815E-08,9.85832E-08,3.65855E-08,0,0,0,5.90936E-09,0,1.87993E-08
21,2.90117E-07,2.17362E-06,2.07874E-06,2.55156E-08,2.66914E-08,2.88899E-08,0,8.91906E-08,1.70398E-08,7.94381E-08,8.96788E-08,7.06568E-08,6.83019E-07,2.57687E-07,4.17149E-08,2.73424E-08,0,7.22234E-08,5.67149E-08,7.69492E-08,7.6608E-09,8.51492E-08,9.02911E-09,1.09964E-07,7.11472E-08,8.71854E-08,4.29138E-07,1.67642E-07,1.79818E-07,7.69364E-08,3.44572E-08,3.2185E-08,5.83966E-08,1.7482E-07,1.64638E-07,1.83355E-08,2.65247E-08,2.03672E-07,4.98375E-08,1.01942E-07,1.44271E-07,8.63839E-08,6.43661E-09,4.94029E-08,4.35236E-08,1.51628E-08,1.52757E-08,4.64249E-08,1.31369E-06,1.08298E-06,2.99708E-07,5.26058E-08,0,6.30268E-08,0,0,2.36371E-08,8.63993E-08,0,6.94929E-08,1.87919E-07,6.0169E-08,5.99702E-08,1.77297E-07,1.58901E-07,2.41387E-07,4.68176E-08,0,1.52777E-08,6.75765E-08,1.98959E-07,6.07584E-08
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40935E-07,2.76902E-08,2.07836E-08,0,0,0,3.96136E-08,0,0,0,0,0,0,0,4.18847E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,2.45733E-08,0,0,0,3.87089E-08,8.51256E-09,1.10089E-08,0,1.15372E-08,0,0,0,2.59639E-08,2.17492E-08,0,1.28169E-08,0,0,0,0,5.80702E-09,7.00224E-09,6.61665E-09,2.01739E-07,1.65005E-07,1.00694E-07,3.18961E-08,7.88645E-08,2.60275E-08,0,0,0,0,0,1.2685E-08,1.82737E-07,6.56549E-08,1.01328E-07,7.41208E-08,1.67364E-07,3.4642E-08,0,0,0,0,0,8.76226E-09,0,0,0,2.515E-08,0,0,0,0,0,1.16689E-08,0,0,1.66146E-07,2.32948E-07,4.33737E-08,1.69786E-08,4.58153E-08,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66782E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
